Location,Site,intensity 0-100%,Replicate,Scy_Rec,Scy_Adu,Sarg_Rec,Sarg_Adu,std_sc_rec,std_sg_rec,Scy_dens,Sarg_dens
a_HAM,Site1,0%,R1,3,0,2,0,-2,1,0.25,0
a_HAM,Site1,0%,R2,2,0,0,0,2,0,0.25,0
a_HAM,Site1,0%,R3,8,0,0,0,7,0,0.25,0
a_HAM,Site1,0%,R4,10,1,2,0,4,2,0.25,0
a_HAM,Site1,60%,R1,76,2,2,0,58,1,0.25,0
a_HAM,Site1,60%,R2,10,0,6,0,2,3,0.25,0
a_HAM,Site1,100%,R1,6,0,11,0,6,11,0.25,0
a_HAM,Site1,100%,R2,3,0,15,0,-1,15,0.25,0
a_HAM,Site1,60%,R3,2,0,0,0,1,0,0.25,0
a_HAM,Site1,60%,R4,4,1,2,0,1,2,0.25,0
a_HAM,Site1,100%,R3,3,1,4,0,-1,4,0.25,0
a_HAM,Site1,100%,R4,0,0,0,1,-2,0,0.25,0
a_HAM,Site1,60%,R5,25,0,8,0,23,8,0.25,0
a_HAM,Site1,60%,R6,14,0,13,0,10,12,0.25,0
a_HAM,Site1,100%,R5,7,0,10,2,-7,9,0.25,0
a_HAM,Site1,100%,R6,1,0,0,0,-5,0,0.25,0
a_HAM,Site2,0%,R1,42,9,0,0,30,-1,8,0
a_HAM,Site2,0%,R2,25,9,2,0,16,2,8,0
a_HAM,Site2,0%,R3,18,7,3,0,14,3,8,0
a_HAM,Site2,0%,R4,29,7,2,0,19,2,8,0
a_HAM,Site2,60%,R1,63,6,0,0,57,0,8,0
a_HAM,Site2,60%,R2,72,3,1,0,29,0,8,0
a_HAM,Site2,100%,R1,30,2,10,2,14,10,8,0
a_HAM,Site2,100%,R2,53,5,12,2,39,11,8,0
a_HAM,Site2,60%,R3,43,3,1,0,29,1,8,0
a_HAM,Site2,60%,R4,67,4,3,0,55,3,8,0
a_HAM,Site2,100%,R3,0,1,0,0,-11,0,8,0
a_HAM,Site2,100%,R4,18,1,3,1,4,3,8,0
a_HAM,Site2,60%,R5,28,3,10,1,14,9,8,0
a_HAM,Site2,60%,R6,44,2,5,0,33,5,8,0
a_HAM,Site2,100%,R5,17,1,19,7,3,18,8,0
a_HAM,Site2,100%,R6,3,0,14,0,-14,13,8,0
a_HAM,Site3,0%,R1,37,3,0,0,36,0,5,0
a_HAM,Site3,0%,R2,35,0,3,0,3,3,5,0
a_HAM,Site3,0%,R3,28,8,0,0,3,0,5,0
a_HAM,Site3,0%,R4,52,9,0,0,46,-3,5,0
a_HAM,Site3,60%,R1,49.8,2.4,3,0,41.8,1,5,0
a_HAM,Site3,60%,R2,28,1,6,0,22,6,5,0
a_HAM,Site3,100%,R1,27,0,8,0,8,5,5,0
a_HAM,Site3,100%,R2,24,0,20,0,18,19,5,0
a_HAM,Site3,60%,R3,58,7,11,0,47,11,5,0
a_HAM,Site3,60%,R4,10,3,9,0,-13,8,5,0
a_HAM,Site3,100%,R3,53,5,60,17,37,59,5,0
a_HAM,Site3,100%,R4,18,0,19,1,-5,17,5,0
a_HAM,Site3,60%,R5,103,15,7,0,85,7,5,0
a_HAM,Site3,60%,R6,57,12,4,0,33,4,5,0
a_HAM,Site3,100%,R5,3,0,18,32,-3,18,5,0
a_HAM,Site3,100%,R6,49,5,36,12,10,34,5,0
b_MAR,Site1,0%,R1,2,1,52,1,1,40,0.25,1
b_MAR,Site1,0%,R2,1,0,40,2,1,22,0.25,1
b_MAR,Site1,0%,R3,1,0,12,1,0,0,0.25,1
b_MAR,Site1,0%,R4,1,0,9,0,1,7,0.25,1
b_MAR,Site1,60%,R1,0,1,45,0,-1,41,0.25,1
b_MAR,Site1,60%,R2,1,0,48,0,-1,44,0.25,1
b_MAR,Site1,100%,R1,0,0,47,0,-1,35,0.25,1
b_MAR,Site1,100%,R2,0,0,92,0,0,90,0.25,1
b_MAR,Site1,60%,R3,1,0,13,0,-2,11,0.25,1
b_MAR,Site1,60%,R4,1,0,62,30,1,60,0.25,1
b_MAR,Site1,100%,R3,0,0,16,0,0,-19,0.25,1
b_MAR,Site1,100%,R4,1,0,8,2,1,-4,0.25,1
b_MAR,Site1,60%,R5,0,0,31,1,-1,26,0.25,1
b_MAR,Site1,60%,R6,0,0,89,2,0,66,0.25,1
b_MAR,Site1,100%,R5,0,0,21,0,0,20,0.25,1
b_MAR,Site1,100%,R6,0,0,53,0,0,37,0.25,1
b_MAR,Site2,0%,R1,20,3,21,2,10,19,2.25,1
b_MAR,Site2,0%,R2,13,2,17,0,5,0,2.25,1
b_MAR,Site2,0%,R3,24,1,10,0,10,0,2.25,1
b_MAR,Site2,0%,R4,10,3,26,2,6,20,2.25,1
b_MAR,Site2,60%,R1,23,9,38,4,19,36,2.25,1
b_MAR,Site2,60%,R2,24,2,13,1,17,10,2.25,1
b_MAR,Site2,100%,R1,25,2,59,7,11,55,2.25,1
b_MAR,Site2,100%,R2,13,1,24,17,9,23,2.25,1
b_MAR,Site2,60%,R3,17,2,71,19,11,46,2.25,1
b_MAR,Site2,60%,R4,21,2,42,7,6,40,2.25,1
b_MAR,Site2,100%,R3,2,0,31,7,-2,23,2.25,1
b_MAR,Site2,100%,R4,8,1,21,2,-1,18,2.25,1
b_MAR,Site2,60%,R5,39,3,80,47,22,72,2.25,1
b_MAR,Site2,60%,R6,15,0,29,2,8,25,2.25,1
b_MAR,Site2,100%,R5,2,1,43,36,-4,35,2.25,1
b_MAR,Site2,100%,R6,5,1,38,15,-6,34,2.25,1
b_MAR,Site3,0%,R1,5,0,1,0,-1,-1,1.75,0.5
b_MAR,Site3,0%,R2,8,0,5,0,5,2,1.75,0.5
b_MAR,Site3,0%,R3,56,4,75,2,41,55,1.75,0.5
b_MAR,Site3,0%,R4,13,3,3,0,8,3,1.75,0.5
b_MAR,Site3,60%,R1,11,0,47,26,9,35,1.75,0.5
b_MAR,Site3,60%,R2,35,3,17,2,12,12,1.75,0.5
b_MAR,Site3,100%,R1,6,1,71,23,-3,66,1.75,0.5
b_MAR,Site3,100%,R2,2,0,102,170,2,102,1.75,0.5
b_MAR,Site3,60%,R3,15,0,24,7,7,22,1.75,0.5
b_MAR,Site3,60%,R4,10,0,75,28,10,75,1.75,0.5
b_MAR,Site3,100%,R3,0,0,63,100,-3,54,1.75,0.5
b_MAR,Site3,100%,R4,0,0,40,62,-3,40,1.75,0.5
b_MAR,Site3,60%,R5,18,3,78,5,16,74,1.75,0.5
b_MAR,Site3,60%,R6,19,1,65,15,17,61,1.75,0.5
b_MAR,Site3,100%,R5,3,0,44,19,-2,41,1.75,0.5
b_MAR,Site3,100%,R6,0,0,100,123,-3,99,1.75,0.5
c_JUR,Site1,0%,R1,2,0,3,0,1,2,0,0.25
c_JUR,Site1,0%,R2,6,0,2,1,3,-1,0,0.25
c_JUR,Site1,0%,R3,0,0,0,0,-2,0,0,0.25
c_JUR,Site1,0%,R4,1,0,1,0,-2,0,0,0.25
c_JUR,Site1,60%,R1,8,1,8,0,6,6,0,0.25
c_JUR,Site1,60%,R2,4,0,2,0,3,1,0,0.25
c_JUR,Site1,100%,R1,0,0,1,0,0,-1,0,0.25
c_JUR,Site1,100%,R2,1,0,6,0,1,4,0,0.25
c_JUR,Site1,60%,R3,2,0,1,1,2,-1,0,0.25
c_JUR,Site1,60%,R4,7,0,10,0,6,10,0,0.25
c_JUR,Site1,100%,R3,3,1,15,2,0,13,0,0.25
c_JUR,Site1,100%,R4,0,0,8,0,0,7,0,0.25
c_JUR,Site1,60%,R5,5,0,11,1,2,11,0,0.25
c_JUR,Site1,60%,R6,2,0,25,0,2,23,0,0.25
c_JUR,Site1,100%,R5,0,0,3,0,0,2,0,0.25
c_JUR,Site1,100%,R6,0,0,10,0,-1,8,0,0.25
c_JUR,Site2,0%,R1,31,8,9,0,23,1,8.25,0
c_JUR,Site2,0%,R2,44,7,0,0,27,-5,8.25,0
c_JUR,Site2,0%,R3,34,6,5,0,21,1,8.25,0
c_JUR,Site2,0%,R4,18,12,1,0,11,-1,8.25,0
c_JUR,Site2,60%,R1,94,5,23,3,75,19,8.25,0
c_JUR,Site2,60%,R2,37,3,13,0,33,7,8.25,0
c_JUR,Site2,100%,R1,48,2,20,33,33,20,8.25,0
c_JUR,Site2,100%,R2,8,1,10,61,5,8,8.25,0
c_JUR,Site2,60%,R3,74,6,15,0,60,12,8.25,0
c_JUR,Site2,60%,R4,52,7,17,1,41,12,8.25,0
c_JUR,Site2,100%,R3,16,1,30,97,-9,26,8.25,0
c_JUR,Site2,100%,R4,6,0,10,35,4,9,8.25,0
c_JUR,Site2,60%,R5,30,7,8,0,24,5,8.25,0
c_JUR,Site2,60%,R6,46,12,18,1,38,18,8.25,0
c_JUR,Site2,100%,R5,13,0,15,46,-6,10,8.25,0
c_JUR,Site2,100%,R6,7,2,20,71,-5,16,8.25,0
c_JUR,Site3,0%,R1,11.5,1.5,5.25,0.5,7.5,4.25,3.875,0.375
c_JUR,Site3,0%,R2,20,11,0,0,13,0,3.875,0.375
c_JUR,Site3,0%,R3,0,0,6.5,0,-10,-0.5,3.875,0.375
c_JUR,Site3,0%,R4,23,3,4,1,11,1,3.875,0.375
c_JUR,Site3,60%,R1,36,3,15,0,26,13,3.875,0.375
c_JUR,Site3,60%,R2,8.333333333,0.666666667,42.66666667,36.66666667,-0.666666667,39.66666667,3.875,0.375
c_JUR,Site3,100%,R1,31,1,11,0,22,9,3.875,0.375
c_JUR,Site3,100%,R2,2,1,28,0,0,28,3.875,0.375
c_JUR,Site3,60%,R3,26,4,5,0,7,-2,3.875,0.375
c_JUR,Site3,60%,R4,23,2,13,0,18,6,3.875,0.375
c_JUR,Site3,100%,R3,10,2,3,0,1,-3,3.875,0.375
c_JUR,Site3,100%,R4,12,0,6,1,5,0,3.875,0.375
c_JUR,Site3,60%,R5,15,0,20,1,11,20,3.875,0.375
c_JUR,Site3,60%,R6,7,0.333333333,32.33333333,26.66666667,-18,32.33333333,3.875,0.375
c_JUR,Site3,100%,R5,0,0,8.333333333,0,-5,8.333333333,3.875,0.375
c_JUR,Site3,100%,R6,16,1,12,1,13,12,3.875,0.375
d_KAL,Site1,0%,R1,0,0,3,0,0,0,0,0
d_KAL,Site1,0%,R2,0,0,4,0,0,-4,0,0
d_KAL,Site1,0%,R3,0,0,9,0,0,9,0,0
d_KAL,Site1,0%,R4,0,0,4,0,0,0,0,0
d_KAL,Site1,60%,R1,0,0,15,0,0,9,0,0
d_KAL,Site1,60%,R2,0,0,5,0,0,-10,0,0
d_KAL,Site1,100%,R1,0,0,7,0,0,-1,0,0
d_KAL,Site1,100%,R2,0,0,8,0,0,4,0,0
d_KAL,Site1,60%,R3,0,0,10,0,0,1,0,0
d_KAL,Site1,60%,R4,0,0,12,0,0,9,0,0
d_KAL,Site1,100%,R3,0,0,7,0,0,-4,0,0
d_KAL,Site1,100%,R4,0,0,15,0,0,10,0,0
d_KAL,Site1,60%,R5,0,0,9,0,0,6,0,0
d_KAL,Site1,60%,R6,0,0,12,0,0,11,0,0
d_KAL,Site1,100%,R5,0,0,3,0,0,2,0,0
d_KAL,Site1,100%,R6,0,0,11,0,0,3,0,0
d_KAL,Site2,0%,R1,0,11,0,0,0,-47,0,0.0833
d_KAL,Site2,0%,R2,0,1,1.666666667,0.333333333,0,-7.333333333,0,0.0833
d_KAL,Site2,0%,R3,0,0,5,0,0,-5,0,0.0833
d_KAL,Site2,0%,R4,0,0,4,0,0,-2,0,0.0833
d_KAL,Site2,60%,R1,0,0,7,0,0,-18,0,0.0833
d_KAL,Site2,60%,R2,0,0,12,0,0,6,0,0.0833
d_KAL,Site2,100%,R1,0,0,18,0,0,1,0,0.0833
d_KAL,Site2,100%,R2,0,0,25,0,0,18,0,0.0833
d_KAL,Site2,60%,R3,0,0,15,0,0,3,0,0.0833
d_KAL,Site2,60%,R4,0,0,21,0,0,6,0,0.0833
d_KAL,Site2,100%,R3,0,0,22,0,0,3,0,0.0833
d_KAL,Site2,100%,R4,0,0,2,0,0,-7,0,0.0833
d_KAL,Site2,60%,R5,0,0,16,0,0,7,0,0.0833
d_KAL,Site2,60%,R6,0,0,19,0,0,15,0,0.0833
d_KAL,Site2,100%,R5,0,0,21,0,0,10,0,0.0833
d_KAL,Site2,100%,R6,0,0,22,0,0,20,0,0.0833
d_KAL,Site3,0%,R1,0,0,28,0,0,13,0,0
d_KAL,Site3,0%,R2,0,0,31,0,0,0,0,0
d_KAL,Site3,0%,R3,0,0,18,0,0,-10,0,0
d_KAL,Site3,0%,R4,0,0,15,0,0,15,0,0
d_KAL,Site3,60%,R1,0,0,110,0,0,12,0,0
d_KAL,Site3,60%,R2,0,0,32,0,0,27,0,0
d_KAL,Site3,100%,R1,0,0,55,0,0,37,0,0
d_KAL,Site3,100%,R2,0,0,65,0,0,58,0,0
d_KAL,Site3,60%,R3,0,0,54,0,0,44,0,0
d_KAL,Site3,60%,R4,0,0,113,0,0,98,0,0
d_KAL,Site3,100%,R3,0,0,3,0,0,-14,0,0
d_KAL,Site3,100%,R4,0,0,6,0,0,-39,0,0
d_KAL,Site3,60%,R5,0,0,12,0,0,-25,0,0
d_KAL,Site3,60%,R6,0,0,65,1,0,49,0,0
d_KAL,Site3,100%,R5,0,0,15,0,0,-24,0,0
d_KAL,Site3,100%,R6,0,0,28,0,0,-13,0,0
